Epoch=7, GS=80000, loss=6.086e-01
Epoch=7, GS=90000, loss=6.100e-01
Epoch=7, GS=100000, loss=6.104e-01
Epoch=7, GS=110000, loss=6.090e-01
Epoch=7, GS=120000, loss=6.083e-01
Epoch=7, GS=130000, loss=6.085e-01
Epoch=7, GS=140000, loss=6.076e-01
Epoch=7, GS=150000, loss=6.091e-01
Epoch=7, GS=160000, loss=6.085e-01
Epoch=7, GS=170000, loss=6.087e-01
Epoch=7, GS=180000, loss=6.093e-01
Epoch=7, GS=190000, loss=6.091e-01
Epoch=7, GS=200000, loss=6.090e-01
Epoch=7, GS=210000, loss=6.087e-01
Epoch=7, GS=220000, loss=6.087e-01
Epoch=7, GS=230000, loss=6.107e-01
Epoch=7, GS=240000, loss=6.075e-01
Epoch=7, GS=250000, loss=6.092e-01
Epoch=7, GS=260000, loss=6.088e-01
Epoch=7, GS=270000, loss=6.076e-01
Epoch=7, GS=280000, loss=6.086e-01
Epoch=7, GS=290000, loss=6.080e-01
Epoch=7, GS=300000, loss=6.083e-01
Epoch=7, GS=310000, loss=6.083e-01
Epoch=7, GS=320000, loss=6.075e-01
Epoch=7, GS=330000, loss=6.094e-01
Epoch=7, GS=340000, loss=6.089e-01
Epoch=7, GS=350000, loss=6.087e-01
Epoch=7, GS=360000, loss=6.084e-01
